2020-04-30 12:48:06 [INF] FileController.go:306 | ceshi查看文件列表
2020-04-30 12:48:17 [ERR] FileMongo.go:27 | not found
2020-04-30 12:48:17 [INF] FileController.go:85 | ceshi上传文件
2020-04-30 12:48:17 [DBG] FileController.go:99 | 郭朝第5周周报.pdf
2020-04-30 12:48:17 [INF] FileController.go:151 | ceshi同步文件郭朝第5周周报.pdf
2020-04-30 12:48:17 [DBG] File.go:59 | INSERT INTO file VALUES(?,?,?,?,?,?,?,?)
2020-04-30 12:48:17 [INF] event.go:63 | 同步文件ceshi1588222097郭朝第5周周报.pdf成功
2020-04-30 12:48:17 [INF] event.go:46 | 释放channel
2020-04-30 12:48:17 [INF] FileController.go:306 | ceshi查看文件列表
2020-04-30 12:48:17 [INF] FileController.go:366 | ceshi查看容量信息
